Annee_acquisition;Achat ancien;Heritage;Achat sur plan ou autoconstruction;Achat Neuf;Donation du bien;Viager;Autre
1996;53,76;10,32;21,94;5,16;8,39;0,22;0,22
1999;56,19;9,91;22,99;4,72;5,34;0,31;0,39
2003;56,43;9,01;25,06;4,42;4,42;0,33;0,25
2004;55,27;11,65;20,33;4,62;7,76;0,18;0,18
2005;54,45;9,72;26,72;3,03;5,67;0,4;0
2006;56,8;6,52;28,49;3,72;3,91;0;0,56
2007;56,64;10,13;25,75;3,82;3,49;0,17;0
2008;5;10,79;25,86;6,34;5,82;0,34;0,86
2009;53,2;11;27;5;3,4;0;0,4
2010;55,74;8,4;24,09;5,46;5,74;0,14;0,42
2011;62,08;11,66;17,7;4,63;3,65;0;0,14
2012;61,74;13,57;14,77;3,95;5,22;0,37;0,37
Ante_1995;41,91;10,07;33,88;7,55;5,67;0,38;0,5
